2214551TOMAS   MS1967101223
2214552MARIUS  TG1968121953
2214553JOLANTA ST1969090587
2214554EGLE    SM1970031365
2214555DOMANTASTJ1965012836
2214556DARIUS  MT1966121285
8712357MARIJA  AS1968122557
8712358DENISAS HA1964041485
8712359LAURIS  MB1967102375
8812355JURIJUS FL1963113000
8812356LUKAS   TD1969091887
8812357NERIJUS WE1970120699
8812358ROKAS   FR1964031612
8812359LAURA   GL1965022741
8912351RENATA  AS1963051545
8912352RUTA    TR1968100756
8912353AUDINGA WJ1969021132
8912354ARTURAS PP1969120323
8912355VALDAS  GN1967091734
8912356AUSTEJA DF1964082298
8912357KOSTAS  SD1963112165
8912358TANIA   LM1967100923
8912359POVILAS HS1964070345
9012351STASE   MB1965041232
9012352PAULIUS TJ1968111442
9012353EVELINA VT1968072621
9012354DONATAS DR1967041866
9012355MANTAS  RR1969012865
9012356GIEDRIUSWR1970091074
9012357TADAS   FL1969031457
9012358LIVIJA  LK1965042336
9012359JURATE  DP1967100314
